config,method,lambda_eff,n_runs,pc_mean,pc_std,pc_sem,anc_mean,anc_std,anc_sem,success_rate
WS-localized,Adaptive TD,18,100,0.6360842754367935,0.09600686239704558,0.009600686239704557,0.6123546996501968,0.0317940918059265,0.0031794091805926504,1.0
WS-localized,Adaptive TD,20,100,0.6406988694758479,0.09669825916862335,0.009669825916862334,0.6151019214078386,0.030708212928597826,0.0030708212928597825,1.0
WS-localized,Adaptive Katz,1,100,0.3152209660842754,0.18110786227518053,0.018110786227518053,0.8300495269343757,0.08448227210269392,0.008448227210269391,1.0
WS-localized,Adaptive Katz,2,100,0.4273381294964029,0.17340459595195565,0.017340459595195565,0.7715781842559213,0.0786939440020341,0.00786939440020341,1.0
WS-localized,Adaptive Katz,4,100,0.5009969167523124,0.14065606798318284,0.014065606798318284,0.7289487807752557,0.06346438661426046,0.006346438661426046,1.0
WS-localized,Adaptive Katz,6,100,0.5070914696813977,0.13333064862392277,0.013333064862392278,0.7223954605452252,0.05808314610263984,0.0058083146102639845,1.0
WS-localized,Adaptive Katz,8,100,0.5131449126413155,0.12787945421324318,0.012787945421324318,0.7149726591681191,0.053537059087002,0.0053537059087002,1.0
WS-localized,Adaptive Katz,10,100,0.5519938335046249,0.11658120567886017,0.011658120567886017,0.6963891618662125,0.047693247836696366,0.004769324783669636,1.0
WS-localized,Adaptive Katz,12,100,0.5411819116135663,0.11512546252589143,0.011512546252589143,0.6969909972700045,0.04351325108341577,0.004351325108341577,1.0
WS-localized,Adaptive Katz,14,100,0.5301336073997944,0.11756187808994749,0.01175618780899475,0.6989836551842663,0.04185398954149346,0.004185398954149346,1.0
WS-localized,Adaptive Katz,16,100,0.5271325796505653,0.10889501425941872,0.010889501425941871,0.6998430462434952,0.03692018872934836,0.003692018872934836,1.0
WS-localized,Adaptive Katz,18,100,0.5493627954779033,0.10341838189538156,0.010341838189538157,0.6878306387953235,0.035346849388295194,0.0035346849388295195,1.0
