config,base_method,strategy,lambda_eff,n_sims,pc_mean,pc_sem,anc_mean,anc_sem
BA-random,Katz,Batch,16,100,0.30067831449126414,0.008158287623209366,0.7030328583146251,0.0031630768884631476
BA-random,Katz,Batch,18,100,0.30770811921891056,0.007821988658836588,0.7061408116692373,0.003085688971295508
BA-random,Katz,Batch,20,100,0.3197636176772868,0.007826681926750234,0.7025314222604045,0.0030997742112513983
BA-random,TIA,Fully,1,100,0.2020966084275437,0.006900102282004954,0.8307869744027278,0.0017030135481899474
BA-random,TIA,Fully,2,100,0.2226310380267215,0.006899539842725231,0.8033498455102357,0.0016902141117522414
BA-random,TIA,Fully,4,100,0.23862281603288799,0.006900452214283629,0.7770769516831763,0.0019304125391351964
BA-random,TIA,Fully,6,100,0.23990750256937304,0.007199531972764138,0.7588438099472526,0.0019718613514367054
BA-random,TIA,Fully,8,100,0.2384172661870503,0.007466836586894779,0.7457407133877046,0.002277949054804678
BA-random,TIA,Fully,10,100,0.26235354573484077,0.007478694007599399,0.7368398968283012,0.0027926674226851733
BA-random,TIA,Fully,12,100,0.2559301130524152,0.00741765829356337,0.7271891052774773,0.0027351708161925986
BA-random,TIA,Fully,14,100,0.24789311408016443,0.008026188506517951,0.7147431818498654,0.003316283215896166
BA-random,TIA,Fully,16,100,0.24484069886947588,0.007493481029021973,0.7156625449992646,0.0029034597840249562
BA-random,TIA,Fully,18,100,0.25783144912641315,0.007377488004520319,0.7051994297168828,0.0033753009709685733
BA-random,TIA,Fully,20,100,0.26625899280575543,0.007191502266936258,0.7084541629159748,0.0037336403173903964
BA-random,TIA,Batch,1,100,0.20239465570400822,0.0069002053806948346,0.8298749426517087,0.0018362261850367457
BA-random,TIA,Batch,2,100,0.22285714285714284,0.006920526619428361,0.803088160938238,0.001730793178670607
BA-random,TIA,Batch,4,100,0.23782117163412128,0.006841213342382049,0.7784482534993087,0.0018444485779790022
BA-random,TIA,Batch,6,100,0.24038026721479958,0.007147445715366929,0.7579954024081137,0.001954966423962676
BA-random,TIA,Batch,8,100,0.2388591983556012,0.007424079355109884,0.7442898639991233,0.0026104563056953186
BA-random,TIA,Batch,10,100,0.2620760534429599,0.007411490129180515,0.736716426750963,0.0027008174029516012
BA-random,TIA,Batch,12,100,0.2554881808838643,0.007550580518052063,0.7293910180831575,0.0025543745212311215
BA-random,TIA,Batch,14,100,0.24823227132579653,0.0080449522737081,0.7141019481227296,0.003477978962719748
BA-random,TIA,Batch,16,100,0.2453237410071943,0.007350706487324675,0.7130953169215283,0.0034539217656989986
BA-random,TIA,Batch,18,100,0.25733812949640283,0.0073025454953011175,0.7062922656299253,0.0037018913093116294
BA-random,TIA,Batch,20,100,0.2661459403905447,0.0072677048207609365,0.7079113732166796,0.0037158834270562477
BA-random,GNN-RL,Fully,1,100,0.16348406988694758,0.004371360846835223,0.8776744898818951,0.0012139354818122756
BA-random,GNN-RL,Fully,2,100,0.1553031860226105,0.0038082760574859507,0.8842349724867716,0.0009190157205001932
BA-random,GNN-RL,Fully,4,100,0.1525077081192189,0.003525611154808223,0.8878155075690144,0.0008237344903400402
BA-random,GNN-RL,Fully,6,100,0.14640287769784174,0.0035331972208856055,0.8894893857368396,0.0008502253154236455
BA-random,GNN-RL,Fully,8,100,0.13970195272353547,0.0036703241725965174,0.8928255436146678,0.0007862836267202805
BA-random,GNN-RL,Fully,10,100,0.15092497430626925,0.0036796113688913985,0.8908051644894114,0.0008216186117816724
BA-random,GNN-RL,Fully,12,100,0.14563206577595067,0.003688531704096414,0.8938678910966132,0.0008178907534180993
BA-random,GNN-RL,Fully,14,100,0.14084275436793425,0.004051077195499069,0.8929402940571487,0.0009136047996916559
BA-random,GNN-RL,Fully,16,100,0.1389928057553957,0.003646095056642487,0.8948715390055613,0.00083124501184826
BA-random,GNN-RL,Fully,18,100,0.14248715313463514,0.003680132202025064,0.8960472476712437,0.0009120668244009188
BA-random,GNN-RL,Fully,20,100,0.14799588900308325,0.0037960276384518916,0.8950983858159192,0.0009047614415074951
BA-random,GNN-RL,Batch,1,100,0.19817060637204517,0.006084768111493607,0.8452420242784149,0.0017472647272753418
BA-random,GNN-RL,Batch,2,100,0.184830421377184,0.005122105017990359,0.8595812348835081,0.0013687090696679247
BA-random,GNN-RL,Batch,4,100,0.17702980472764643,0.004672369433749671,0.8688782554218162,0.0011428583132250534
BA-random,GNN-RL,Batch,6,100,0.16848920863309352,0.00466744864221212,0.874760655098643,0.0010360244408954677
BA-random,GNN-RL,Batch,8,100,0.1615005138746146,0.004643857796593558,0.8771210103406406,0.000956003587494912
BA-random,GNN-RL,Batch,10,100,0.17369989722507706,0.00470182624690196,0.876820075223634,0.00104552775520333
BA-random,GNN-RL,Batch,12,100,0.16501541623843782,0.004810093019142531,0.881158485264711,0.0011933269944482087
BA-random,GNN-RL,Batch,14,100,0.15709146968139776,0.005088580936360716,0.8836162939226891,0.001114488367989052
