config,method,n_nodes,n_runs,pc_mean,pc_std,pc_sem,anc_mean,anc_std,anc_sem,success_rate
WS-localized,Adaptive Katz,32,100,0.3203225806451613,0.1623997329339674,0.01623997329339674,0.8190265880825938,0.07496199389748093,0.007496199389748093,1.0
WS-localized,Adaptive Katz,64,100,0.4578688524590164,0.15997270326142038,0.015997270326142038,0.749368648204538,0.0738304684358839,0.007383046843588389,1.0
WS-localized,Adaptive Katz,128,100,0.510327868852459,0.12775120691424494,0.012775120691424493,0.7184367451867338,0.05832793522804988,0.005832793522804988,1.0
WS-localized,Adaptive Katz,256,100,0.5194262295081967,0.11151249985671807,0.011151249985671807,0.7105143621394318,0.04397620768466238,0.004397620768466238,1.0
WS-localized,Adaptive Katz,512,100,0.5299178644763861,0.10862607568408206,0.010862607568408206,0.6976126658343447,0.03572788694824842,0.0035727886948248417,1.0
WS-localized,Adaptive Katz,1024,100,0.5622199383350464,0.1042734452950196,0.01042734452950196,0.6857678750800221,0.03512746365981886,0.0035127463659818856,1.0
WS-localized,Adaptive Katz,2048,100,0.5491829393627955,0.1099869426663636,0.010998694266636359,0.6883096354785622,0.0370004948439481,0.0037000494843948102,1.0
WS-localized,Adaptive Katz,4096,100,0.5377261048304213,0.11528284254669079,0.011528284254669079,0.6916102281033958,0.03818178120364809,0.003818178120364809,1.0
WS-localized,Adaptive Katz,8192,100,0.5367917255556983,0.10736190347771363,0.010736190347771363,0.6896861768609499,0.0358797648388912,0.0035879764838891203,1.0
WS-localized,Adaptive Katz,16384,100,0.556488917442981,0.10467708769117043,0.010467708769117044,0.6830879804558073,0.03524272003761453,0.0035242720037614527,1.0
WS-localized,Adaptive TIA,32,100,0.27806451612903227,0.1253324403478125,0.01253324403478125,0.8369374116488087,0.05727559362839033,0.005727559362839033,1.0
WS-localized,Adaptive TIA,64,100,0.3349180327868852,0.14578656357055095,0.014578656357055094,0.8127537244374905,0.06949567405974254,0.006949567405974254,1.0
WS-localized,Adaptive TIA,128,100,0.365327868852459,0.1287707526789314,0.01287707526789314,0.7964659333027343,0.0662694953626264,0.00662694953626264,1.0
WS-localized,Adaptive TIA,256,100,0.39303278688524584,0.10832626993421673,0.010832626993421673,0.7672748326626294,0.049062350838035604,0.0049062350838035606,1.0
WS-localized,Adaptive TIA,512,100,0.41285420944558526,0.10544415560763203,0.010544415560763203,0.7370123956310666,0.03763404292362109,0.003763404292362109,1.0
WS-localized,Adaptive TIA,1024,100,0.44186022610483044,0.10022955466553378,0.010022955466553378,0.7210558150804185,0.030783871878425177,0.0030783871878425177,1.0
WS-localized,Adaptive TIA,2048,100,0.42312949640287767,0.10587144308078092,0.010587144308078092,0.7360183474943799,0.036706891090133205,0.0036706891090133205,1.0
WS-localized,Adaptive TIA,4096,100,0.4177954779033916,0.10790847403440197,0.010790847403440197,0.7353871265303734,0.03445494678420418,0.0034454946784204183,1.0
WS-localized,Adaptive TIA,8192,100,0.412982140562765,0.10315025206818246,0.010315025206818245,0.7337091759820277,0.03420913724669415,0.003420913724669415,1.0
WS-localized,Adaptive TIA,16384,100,0.43267523289431425,0.10008139100186345,0.010008139100186345,0.7298188156853033,0.0330787875631611,0.0033078787563161098,1.0
WS-localized,GNN-RL,32,100,0.25548387096774194,0.1157412881630404,0.01157412881630404,0.8446215709331518,0.05244336491893851,0.005244336491893851,1.0
WS-localized,GNN-RL,64,100,0.270655737704918,0.11604646966976828,0.011604646966976828,0.8425035379572903,0.054910239377621,0.0054910239377621,1.0
WS-localized,GNN-RL,128,100,0.2574590163934426,0.10855068157456997,0.010855068157456998,0.8544118139992066,0.05550065126616297,0.005550065126616297,1.0
WS-localized,GNN-RL,256,100,0.27844262295081973,0.10817470590724426,0.010817470590724427,0.8463487817063532,0.050157993670365664,0.0050157993670365665,1.0
WS-localized,GNN-RL,512,100,0.3034496919917864,0.09646841724745013,0.009646841724745014,0.8318151601418644,0.043970435878576644,0.004397043587857664,1.0
WS-localized,GNN-RL,1024,100,0.32274409044193214,0.09961742236372098,0.009961742236372098,0.8235520600949813,0.0447273771728904,0.00447273771728904,1.0
WS-localized,GNN-RL,2048,100,0.29389516957862283,0.1027640456731154,0.01027640456731154,0.8401980609472092,0.046951815615097606,0.00469518156150976,1.0
WS-localized,GNN-RL,4096,100,0.2894424460431655,0.09997066110699826,0.009997066110699827,0.8411641671247498,0.04472906307261877,0.004472906307261877,1.0
WS-localized,GNN-RL,8192,100,0.27927919825260183,0.0952036274941197,0.009520362749411971,0.8456572308389592,0.04342196636758114,0.004342196636758114,1.0
WS-localized,GNN-RL,16384,100,0.298884034693222,0.09225645469802018,0.009225645469802018,0.8356356952805561,0.040931274653267014,0.004093127465326701,1.0
