config,method,tau,n_runs,pc_mean,pc_std,pc_sem,anc_mean,anc_std,anc_sem,success_rate
WS-localized,Adaptive TIA,100.0,100,0.40015416238437823,0.11369771684853427,0.011369771684853428,0.773234612039954,0.04900148080432972,0.004900148080432972,1.0
WS-localized,GNN-RL,0.1,100,0.24878725590955805,0.10360601837446251,0.010360601837446252,0.8745424007064646,0.04678168183087012,0.0046781681830870125,1.0
WS-localized,GNN-RL,0.2,100,0.2640184994861254,0.10451152501106485,0.010451152501106484,0.8674578927028567,0.04754720896168392,0.004754720896168392,1.0
WS-localized,GNN-RL,0.5,100,0.2703597122302159,0.08875289359846479,0.008875289359846479,0.865002912029091,0.04037093309817353,0.004037093309817353,1.0
WS-localized,GNN-RL,1.0,100,0.2655395683453238,0.10486876905765866,0.010486876905765866,0.8651344860402327,0.04773994891967499,0.004773994891967499,1.0
WS-localized,GNN-RL,2.0,100,0.27053442959917773,0.10769535544513244,0.010769535544513244,0.8613868171847742,0.05011483800599218,0.005011483800599218,1.0
WS-localized,GNN-RL,5.0,100,0.2912744090441932,0.1097579490320019,0.010975794903200189,0.8495154965713831,0.0512482130058006,0.00512482130058006,1.0
WS-localized,GNN-RL,10.0,100,0.27027749229188075,0.10989162484004464,0.010989162484004463,0.858061534249794,0.05262938517761811,0.005262938517761811,1.0
WS-localized,GNN-RL,20.0,100,0.2593730729701953,0.10570286205305164,0.010570286205305163,0.8632660942923455,0.05110229450465657,0.005110229450465657,1.0
WS-localized,GNN-RL,50.0,100,0.25221993833504625,0.10112458047440766,0.010112458047440766,0.8666932970959144,0.04763426648815105,0.004763426648815105,1.0
WS-localized,GNN-RL,100.0,100,0.26845837615621787,0.10318973789800694,0.010318973789800694,0.858291293235746,0.050156284378716394,0.005015628437871639,1.0
