lambda_eff,config,method,move_prob,attack_ratio,n_sims,pc_mean,pc_std,pc_sem,anc_mean,anc_std,anc_sem
5,BA-random,GNN-RL,0.15,0.03,500,0.32576444444444447,0.009556631463976813,0.0004273855517873097,0.8058415389375391,0.00716679697060136,0.00032050890414408404
5,BA-random,GNN-RL,0.2,0.04,500,0.32575333333333334,0.009402542078122501,0.000420494464959681,0.8059147956864172,0.006646950828283553,0.0002972606779028111
5,BA-random,GNN-RL,0.25,0.05,500,0.3260511111111111,0.009543085144442234,0.00042677974196082466,0.8049785525886116,0.006772054794403341,0.00030285549735278465
5,BA-localized,Adaptive TD,0.05,0.01,500,0.5432022222222221,0.021855645257681817,0.000977414169765949,0.6064517174765228,0.020322072247962085,0.0009088306998021036
5,BA-localized,Adaptive TD,0.1,0.02,500,0.54302,0.02195850396307308,0.0009820141509125988,0.6058313588007338,0.021034575649970636,0.0009406948206239233
5,BA-localized,Adaptive TD,0.15,0.03,500,0.5443800000000001,0.022300933823109652,0.000997328079803949,0.6033131221926439,0.020974879282520568,0.00093802511791136
5,BA-localized,Adaptive TD,0.2,0.04,500,0.5432377777777778,0.022234624428057924,0.000994362633506298,0.6053297629781849,0.02191594446740778,0.0009801108324046842
5,BA-localized,Adaptive TD,0.25,0.05,500,0.5447088888888888,0.022573374351869274,0.001009511990646599,0.6045342173026274,0.021769876242579842,0.0009735784628033245
5,BA-localized,Adaptive Katz,0.05,0.01,500,0.4551111111111111,0.014443076858336054,0.0006459140331898703,0.6743884501596265,0.015356505737821512,0.0006867638145326892
5,BA-localized,Adaptive Katz,0.1,0.02,500,0.4547422222222222,0.01569635390547518,0.0007019622866307362,0.6735492624421652,0.015934504477776144,0.0007126127040016449
5,BA-localized,Adaptive Katz,0.15,0.03,500,0.45449333333333336,0.014779451200155497,0.0006609571510737708,0.6740128704705112,0.01536207288095049,0.0006870127847422266
5,BA-localized,Adaptive Katz,0.2,0.04,500,0.45556444444444444,0.0153130274562721,0.0006848194066709021,0.6741196693845241,0.015560871368424234,0.0006959033233785352
5,BA-localized,Adaptive Katz,0.25,0.05,500,0.4551155555555556,0.01499560363556805,0.0006706237818554628,0.6739372512238755,0.01579305787887712,0.0007062870197951576
5,BA-localized,Adaptive TIA,0.05,0.01,500,0.38592444444444446,0.019144085764357787,0.0008561495427238006,0.7042612772678174,0.028060099032774986,0.0012548857778532192
5,BA-localized,Adaptive TIA,0.1,0.02,500,0.38558,0.018564585826610306,0.0008302335176485953,0.7034542111803446,0.02757507981601114,0.001233195059071666
5,BA-localized,Adaptive TIA,0.15,0.03,500,0.38488222222222224,0.018108273942736376,0.0008098266298229334,0.7050231228716807,0.02797084660590222,0.0012508942879803327
