lambda_eff,config,method,move_prob,attack_ratio,n_sims,pc_mean,pc_std,pc_sem,anc_mean,anc_std,anc_sem
5,WS-localized,Adaptive TIA,0.1,0.02,500,0.3344533333333334,0.06005935270142012,0.0026859359065002203,0.8413977279176288,0.03503445272760714,0.0015667883570686498
5,WS-localized,Adaptive TIA,0.15,0.03,500,0.33625333333333335,0.060209896401599614,0.002692668425443934,0.840348787085722,0.03529403514122466,0.0015783972355208945
5,WS-localized,Adaptive TIA,0.2,0.04,500,0.3408911111111111,0.0626693734246011,0.002802659581694537,0.8367788531504475,0.039186790259414156,0.0017524865368015333
5,WS-localized,Adaptive TIA,0.25,0.05,500,0.3417644444444444,0.06122936292295239,0.0027382603542945353,0.8368882922917811,0.03707096720397068,0.001657864053194875
5,WS-localized,GNN-RL,0.05,0.01,500,0.22382,0.029003408824770757,0.001297071874228094,0.8923062994893519,0.023257490936558024,0.0010401066144045798
5,WS-localized,GNN-RL,0.1,0.02,500,0.22296666666666667,0.030320532504526116,0.001355975435882247,0.8915909545065985,0.026998058434886778,0.0012073898784183683
5,WS-localized,GNN-RL,0.15,0.03,500,0.22298,0.030754802415312935,0.0013753965767042888,0.8912484713684441,0.027292162114313585,0.001220542594810991
5,WS-localized,GNN-RL,0.2,0.04,500,0.22263111111111109,0.030442752913267743,0.0013614412987259287,0.891947944092642,0.026849716682178015,0.0012007558335592032
5,WS-localized,GNN-RL,0.25,0.05,500,0.22499555555555553,0.033540283205883405,0.0014999670646589972,0.8894960280218507,0.030814100552378276,0.0013780484700126328
10,BA-random,Adaptive TD,0.1,0.01,500,0.5323555555555556,0.02602433808648178,0.0011638437806162011,0.5953828659033531,0.02557681285246433,0.0011438298437180107
10,BA-random,Adaptive TD,0.2,0.02,500,0.5322955555555554,0.025956222499041594,0.0011607975589393294,0.5961994235931709,0.025668762272277018,0.0011479419467818675
10,BA-random,Adaptive TD,0.3,0.03,500,0.5337799999999999,0.025833091898513367,0.0011552909910814996,0.5951096441585236,0.025777772645979555,0.001152817038898898
10,BA-random,Adaptive TD,0.4,0.04,500,0.5320733333333333,0.02683530114707717,0.0012001111512308525,0.5963329498772534,0.02554426946345915,0.0011423744591173347
10,BA-random,Adaptive TD,0.5,0.05,500,0.5338466666666668,0.02675994233140735,0.0011967410025400208,0.5936234543031029,0.026334950254686403,0.0011777347790710838
10,BA-random,Adaptive Katz,0.1,0.01,500,0.4441688888888889,0.014355043678524481,0.0006419770697031875,0.6747551405315821,0.015861290704678115,0.000709338484530916
10,BA-random,Adaptive Katz,0.2,0.02,500,0.4438666666666667,0.015313417017136989,0.0006848368283624074,0.6747408841028055,0.01668506025167127,0.0007461785786283341
