config,method,target_ratio,n_runs,pc_mean,pc_std,pc_sem,anc_mean,anc_std,anc_sem,success_rate
WS-random,Adaptive Katz,0.05,100,0.5349229188078108,0.10712268030384924,0.010712268030384924,0.6945461363608672,0.036660653877975645,0.0036660653877975645,1.0
WS-random,Adaptive Katz,0.06,100,0.5788992731048804,0.10642281174177795,0.010642281174177795,0.6703000117045173,0.03419801735471205,0.003419801735471205,1.0
WS-random,Adaptive Katz,0.07,100,0.5798426023084995,0.10587561838372302,0.010587561838372301,0.6621200294042171,0.03007508032407386,0.0030075080324073857,1.0
WS-random,Adaptive Katz,0.08,100,0.5819512195121952,0.11521665489514259,0.01152166548951426,0.6532192866514471,0.03183250687331694,0.0031832506873316945,1.0
WS-random,Adaptive Katz,0.09,100,0.5955901287553648,0.10545164544286449,0.010545164544286448,0.640405475879192,0.027324526761413077,0.0027324526761413077,1.0
WS-random,Adaptive Katz,0.1,100,0.6300759219088937,0.10382122460595987,0.010382122460595987,0.6269591019582116,0.025082542200372274,0.0025082542200372273,1.0
WS-random,Adaptive Katz,0.11,100,0.6484649122807018,0.10108638207248676,0.010108638207248676,0.6214264492168095,0.02089164688278088,0.002089164688278088,1.0
WS-random,Adaptive Katz,0.12,100,0.6354101995565409,0.1100124690630312,0.01100124690630312,0.6126651625640879,0.02032775892828908,0.0020327758928289077,1.0
WS-random,Adaptive Katz,0.13,100,0.6693939393939394,0.10279055054738463,0.010279055054738463,0.6038922118994197,0.02093843583978727,0.002093843583978727,1.0
WS-random,Adaptive Katz,0.14,100,0.6707832009080589,0.10916317014540881,0.01091631701454088,0.5948330265454339,0.022663585499234865,0.0022663585499234865,0.99
WS-random,Adaptive Katz,0.15,100,0.6998851894374282,0.1145895691700771,0.011458956917007709,0.5832031183558097,0.025501396276304513,0.0025501396276304514,0.98
WS-random,Adaptive TIA,0.01,100,0.24527613412228796,0.11859402207423896,0.011859402207423896,0.8724607713331838,0.05654155829770095,0.005654155829770096,1.0
WS-random,Adaptive TIA,0.02,100,0.34017928286852595,0.11099241756479077,0.011099241756479077,0.8133572221759795,0.04886954894098524,0.004886954894098524,1.0
WS-random,Adaptive TIA,0.03,100,0.39039235412474843,0.09234835739456117,0.009234835739456116,0.7694149994486118,0.03772831970240111,0.0037728319702401113,1.0
WS-random,Adaptive TIA,0.04,100,0.39508130081300813,0.10314486147937814,0.010314486147937814,0.760884482358328,0.037470943019688174,0.0037470943019688174,1.0
WS-random,Adaptive TIA,0.05,100,0.41584789311408016,0.10018470597769333,0.010018470597769332,0.7321261032327206,0.03061582036487053,0.003061582036487053,1.0
WS-random,Adaptive TIA,0.06,100,0.44979231568016614,0.10038614199982963,0.010038614199982964,0.7212155371303652,0.030795096942543593,0.003079509694254359,1.0
WS-random,Adaptive TIA,0.07,100,0.4549632738719832,0.106344548421656,0.0106344548421656,0.6966451912977252,0.03272952703403457,0.003272952703403457,1.0
WS-random,Adaptive TIA,0.08,100,0.462746553552492,0.12526770340756602,0.012526770340756601,0.6900880018078286,0.04281310139509743,0.004281310139509743,1.0
WS-random,Adaptive TIA,0.09,100,0.48436695278969966,0.12676603894983163,0.012676603894983162,0.6655259633065773,0.04223448290315106,0.004223448290315106,1.0
WS-random,Adaptive TIA,0.1,100,0.5520498915401302,0.17424175107227718,0.01742417510722772,0.6343504756325238,0.07295327820769618,0.007295327820769618,0.93
WS-random,Adaptive TIA,0.11,100,0.630625,0.22180007426635337,0.022180007426635336,0.5929048292754517,0.09319198795119363,0.009319198795119363,0.8
WS-random,Adaptive TIA,0.12,100,0.622350332594235,0.2264589573683779,0.02264589573683779,0.5797242111486661,0.08174916502057629,0.008174916502057629,0.79
WS-random,Adaptive TIA,0.13,100,0.7194725028058362,0.23355396424687433,0.02335539642468743,0.5373338277220221,0.08567363131249565,0.008567363131249565,0.63
WS-random,Adaptive TIA,0.14,100,0.7609080590238364,0.23079589560993918,0.02307958956099392,0.5018508257913177,0.07698458585128688,0.007698458585128689,0.54
WS-random,Adaptive TIA,0.15,100,0.8084615384615386,0.23161966408739618,0.023161966408739618,0.48945928132923705,0.0660734161612372,0.00660734161612372,0.42
WS-random,GNN-RL,0.01,100,0.12831360946745562,0.07318230655563494,0.007318230655563494,0.9282165666876397,0.03617285916649914,0.0036172859166499144,1.0
WS-random,GNN-RL,0.02,100,0.21354581673306774,0.08810930591989631,0.00881093059198963,0.8818707515595758,0.04191943420376812,0.0041919434203768115,1.0
WS-random,GNN-RL,0.03,100,0.26571428571428574,0.08238647721806172,0.008238647721806172,0.8534232989605502,0.03932253327186857,0.003932253327186857,1.0
WS-random,GNN-RL,0.04,100,0.2705182926829268,0.09370598698056094,0.009370598698056095,0.8496867881555297,0.04189368081518801,0.004189368081518801,1.0
WS-random,GNN-RL,0.05,100,0.30507708119218907,0.09368482134233558,0.009368482134233557,0.8301338067271982,0.039519812577963984,0.003951981257796398,1.0
WS-random,GNN-RL,0.06,100,0.33426791277258566,0.09543049298365164,0.009543049298365164,0.8184448223010634,0.03990651948865792,0.003990651948865792,1.0
WS-random,GNN-RL,0.07,100,0.3354144805876181,0.09538898913069516,0.009538898913069516,0.8091870753758428,0.04234988939691665,0.004234988939691665,1.0
WS-random,GNN-RL,0.08,100,0.3419936373276776,0.1069199813348244,0.01069199813348244,0.7970601467303092,0.06570254766082201,0.0065702547660822005,1.0
WS-random,GNN-RL,0.09,100,0.3563197424892703,0.10858115645738318,0.010858115645738318,0.7720284251081162,0.06935913775958463,0.006935913775958463,1.0
WS-random,GNN-RL,0.1,100,0.3937960954446854,0.11550519681794141,0.01155051968179414,0.7406939120101421,0.08075168569496947,0.008075168569496947,1.0
WS-random,GNN-RL,0.11,100,0.4296271929824561,0.12562979807435962,0.012562979807435962,0.7062906750934572,0.07671642776797626,0.007671642776797626,1.0
WS-random,GNN-RL,0.12,100,0.4152106430155211,0.13389179639368617,0.013389179639368618,0.6988256640215892,0.08281977131524978,0.008281977131524978,1.0
